sample_id,220090_at,226067_at,205900_at,230835_at,226147_s_at,204623_at,223720_at,229659_s_at,202018_s_at,212768_s_at,213432_at,207802_at,205979_at,224328_s_at,206642_at,1560712_at,220267_at,217022_s_at,220620_at,213240_s_at,group
GSM1551311,14.33091307,1.681748749,14.04844369,15.0507929,3.530340055,2.366244084,13.47577024,3.445727489,2.187995387,12.98406125,2.528055654,12.61670654,2.879479753,9.749341639,12.31992935,12.28474468,4.138236848,7.447830026,8.942453186,15.00409993,Normal
GSM1551312,13.81814222,1.652241957,11.58578001,14.0919768,3.022833122,2.115010353,10.46521667,3.466591121,2.133240222,4.780950379,2.453855403,5.910097259,2.764201746,8.282370412,10.21502842,9.607060994,7.249686384,9.888381626,8.614831544,14.74777519,Normal
GSM1551313,14.9968735,1.661332754,11.46794837,15.15137511,3.031696643,2.729757415,14.71474206,3.530900418,2.146020087,7.188262743,2.469823872,14.62592629,2.796195805,14.52730475,9.507182114,14.16831148,4.080177357,1.672555808,13.87530738,15.25532473,Normal
GSM1551314,13.82966015,1.645879155,13.79987105,15.01018565,4.805741768,2.384413188,10.45363117,3.412028488,2.135118919,4.869074058,2.447890465,11.08593657,2.748642714,10.64495684,11.66081642,10.31142852,7.076169917,1.554529733,7.792252674,14.30938156,Normal
GSM1551315,14.70965302,12.80570913,14.28782264,15.12962094,13.38952851,12.59560017,14.21669632,12.21182674,9.134948234,8.471115514,11.30840861,13.23735336,12.78776429,13.33811001,11.63052742,12.59412017,4.130482735,13.24228469,11.97435017,15.09831551,Normal
GSM1551316,13.56836683,1.703990072,13.80631428,13.74964692,10.36650062,2.752715441,13.56865399,4.549411446,2.215585602,14.72508454,2.608447879,14.19069624,5.571814157,10.65194987,7.071975328,15.01068477,14.19555782,5.841135629,7.393680077,15.15025073,Normal
GSM1551317,14.267366,1.648739162,14.99910463,15.11157634,3.023116582,2.518929547,11.71967591,3.414226194,2.136729527,4.06974933,2.431240206,12.21048059,2.882574912,13.60717271,13.21181932,13.11014284,13.6329989,11.19074694,9.626748897,14.95802596,Normal
GSM1551318,15.19091609,1.182518133,14.53424278,15.36200668,1.725414771,2.357213042,15.36789515,3.358202975,2.153790156,7.895960181,2.088895449,16.37654689,2.804780427,15.50502441,14.16625418,14.39444405,3.866612541,9.415879829,13.20022787,15.24436583,Normal
GSM1551319,10.6020093,11.11665393,6.287765884,8.968168344,14.11137921,11.16349579,2.681699329,14.93309934,4.36011373,11.44660547,9.341621813,11.27781404,3.698339259,4.33141264,2.54918904,5.629756569,11.11830763,6.558244905,1.709572209,12.38725776,Normal
GSM1551320,15.2684483,2.07994265,15.71038989,15.20134172,3.389152195,2.569682558,14.88210382,3.211084155,2.092155249,12.57076874,2.048583051,15.58815651,2.688396274,13.71928986,13.83658048,14.21614378,4.446684539,9.043466061,13.04463559,15.54892868,Normal
GSM1551321,15.57729561,1.167512669,15.01141695,15.13439678,1.712847147,2.340400747,15.06641111,3.584127112,2.104416788,8.401746292,2.092932437,15.78661596,2.762947278,15.85231329,11.41808144,14.7794877,13.35544057,1.67980365,14.55147876,15.55950127,Normal
GSM1551322,15.22925916,10.33639975,14.87342955,15.21033816,11.59946567,10.45104533,15.06488574,10.8830993,3.121688196,15.09736212,7.520396618,15.69718567,11.07849359,14.66051839,13.05661874,14.40099334,14.75767994,13.2053897,12.36404607,15.36487259,Normal
GSM1551323,15.18305169,10.44896539,13.10717322,14.80561777,12.26385916,10.20068965,14.4562027,11.65669792,8.742622925,7.575559942,8.918484333,13.96760561,9.798399288,12.99488328,10.41468676,13.58913149,12.07817384,13.85924409,11.95836524,15.41319106,Normal
GSM1551324,11.51319633,14.34065398,6.96374851,4.976828597,13.52290179,14.79833926,2.890534145,14.21217578,12.26346625,13.87195429,13.96001502,12.11640503,12.75215267,3.671100816,3.796474874,9.524864398,15.33059301,15.53609131,2.773116496,11.58380595,Normal
GSM1551325,15.12824079,5.307846251,14.01469136,15.12580208,10.48789833,7.844028634,14.55651541,7.647357136,2.110242248,11.48907153,5.785644569,15.38969084,4.282510672,15.12429288,11.88922436,14.00851496,11.28320837,10.88060318,13.73158874,15.32608135,Normal
GSM1551326,14.57670264,1.158805408,14.60233982,15.20082711,2.572043644,2.59047697,13.2313725,3.261571611,2.110944885,11.28930422,2.06998631,13.66621336,2.724975237,11.49845312,13.15966356,13.58289201,4.948168099,11.5053338,9.893947526,15.28114439,Normal
GSM1551327,15.32622145,10.52539553,15.25756807,15.30693931,11.85719542,12.46248709,15.24139218,11.47978953,9.122843879,6.91629357,9.262637962,15.95203644,10.12332034,15.83404225,12.79291276,14.26958146,9.376575837,13.34505182,14.64591237,14.60167476,Normal
GSM1551328,1.374344101,14.82384727,1.994566655,1.706649197,14.7015457,14.92483803,2.659990859,14.92244989,14.32538233,11.67917183,14.46857227,13.81725287,13.95701759,3.760390728,2.490406111,4.478064917,12.14278897,12.67221472,1.317111546,9.665846728,Normal
GSM1551329,12.09047627,12.97333562,8.212554188,5.689420494,13.70489989,13.11351045,4.848708529,13.54528726,15.18779609,14.68624694,13.6376377,14.51929128,13.3263022,3.69721585,4.562238937,11.63460029,14.12022128,10.3672225,1.724487565,13.73068406,Normal
GSM1551330,9.967795014,13.18075968,1.924216252,5.096390117,13.56176255,12.72041135,2.648817529,13.59088425,12.05482017,16.57338515,10.86970445,11.6277863,11.07859575,3.670458956,2.469744269,6.475171904,4.480108089,15.3416697,1.452895282,12.72503729,Normal
GSM1551331,1.823752731,14.74282342,1.785193428,1.771443902,14.20714217,15.45192834,2.688989953,14.8588104,15.34536579,8.848813714,15.4795561,10.39113555,16.06263938,3.694516426,2.554459113,2.762966466,3.514934476,15.12725235,1.33714735,1.540532337,Normal
GSM1551332,14.72050328,9.958604461,14.97197229,14.8400698,10.54813261,7.423660709,13.29406923,9.879012153,4.222638496,14.19275794,7.887828167,14.2330143,8.531506804,11.35325264,12.06193525,13.27525892,15.15729918,11.77541227,10.55535987,15.18549526,Normal
GSM1551333,13.41819472,13.8181779,14.77168836,11.76006066,14.05552455,14.56579193,11.90263655,13.82601415,10.79382833,16.67034096,11.58154527,12.81249634,14.32778625,4.239983864,11.32618564,12.28459175,15.80241214,14.87292468,4.200011296,14.99607753,Normal
GSM1551334,14.86697298,2.291772959,10.28319785,13.8676416,9.029415017,7.943337269,12.66063092,8.081889353,5.931142492,9.654745061,5.901758614,12.59392942,8.512352883,14.31766835,7.627067892,11.53383937,13.50576195,13.06884935,11.31664604,14.96695416,Normal
GSM1551335,15.0649239,9.049406802,4.686306174,15.08512588,10.8839687,9.529753388,13.05264047,11.18840695,4.899026946,4.745038398,6.084695775,9.634971094,9.479690136,5.695480397,11.8175098,12.27456506,7.752870823,14.38647284,10.23325969,15.01959998,CIN1
GSM1551336,13.26705401,11.14477373,2.788429441,13.74492865,12.43259292,8.938146954,10.34236204,12.44785417,8.559984443,11.13587945,7.123110598,3.714653739,11.01034448,7.689538678,9.221701454,11.42461411,9.049617675,7.95016008,7.483184719,14.64007544,CIN1
GSM1551337,14.51184253,12.21801271,12.97418181,14.66808,12.43809556,9.916108592,13.0237012,12.4645628,8.404055545,9.512035462,9.128691006,10.85269962,6.861618346,11.77520012,12.08457271,11.9085988,10.52468091,12.02648817,10.33935276,14.70433174,CIN1
GSM1551338,13.22512227,1.158010234,14.35935266,14.91612008,1.700147755,2.340298767,7.828385279,3.653572089,5.106482045,10.32021884,2.066538823,6.61364223,2.746715452,4.24329384,13.22188839,10.67951386,7.320228541,12.7484943,5.596009165,14.6604544,CIN1
GSM1551339,12.10440798,1.658793828,11.91212007,14.75798713,8.738488864,2.301027523,8.666412267,4.003646355,2.311255772,11.00325065,2.144005558,9.341421467,2.885205,4.493900645,9.602666739,12.43413602,6.198633049,11.28192636,3.096564858,14.52914812,CIN1
GSM1551340,13.69419879,6.901948949,12.9269967,14.52315973,9.566488978,4.54777244,7.339478439,9.156678463,7.647019166,14.96254467,4.420057567,9.030434856,4.249059029,4.348283802,9.959557354,11.30678394,5.893327141,14.76938971,1.848047929,15.26593022,CIN1
GSM1551341,14.98710252,1.158519424,15.40309591,14.9959224,3.537583694,2.341255604,14.65012094,3.347358994,2.106691509,10.49317533,2.053802631,15.34522134,2.708899349,13.57645998,12.63915349,14.21522206,8.041645183,10.79370497,10.92303167,15.4490859,CIN1
